Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,6.26150079411847,0
12207.03125,5.953072978765182,179.9801472640629
24414.0625,2.459065709441661,0.7995460480602329
36621.09375,-7.900307644514113,3.63335710730476
48828.125,-22.60013683317739,149.5349448896744
61035.15625,-22.97347801287168,145.2268638326578
73242.1875,-22.93726087846343,164.0903951082503
85449.21875,-22.94203316505012,81.20240864096209
97656.25,-22.9437718076196,58.26706842917382
109863.28125,-22.89246849635983,38.2818906777086
122070.3125,-22.83425236166088,110.4422838962417
134277.34375,-22.81909136420138,98.25385854462866
146484.375,-22.8190879261588,98.30216970704659
158691.40625,-22.80571444126871,102.2266380262787
170898.4375,-22.8223718018212,116.9854124466234
183105.46875,-22.87052669909747,170.6598943347865
195312.5,-22.90083857099136,95.89783780839728
207519.53125,-22.901224900992,126.3573681741854
219726.5625,-22.84405077951776,124.0373659255953
231933.59375,-22.79565589494693,112.9714203389057
244140.625,-22.78798935472679,102.1402932203476
256347.65625,-22.79363406470091,86.67089704888987
268554.6875,-22.82391304747832,76.098935892393
280761.71875,-22.8544695678805,3.9469836763999
292968.75,-22.85823083655884,60.52688105045279
305175.78125,-22.84358797209812,62.49228070043387
317382.8125,-22.81266742331353,55.23399999831114
329589.84375,-22.8144528344744,32.20055626052174
341796.875,-22.82082818388522,138.3535214613146
354003.90625,-22.81105612029017,127.1945819415942
366210.9375,-22.79868715385926,114.3976284525874
378417.96875,-22.80232609589815,106.4572202289898
390625,-22.83743503299834,115.5020583973327
402832.03125,-22.86384227792704,137.173295496382
415039.0625,-22.8821822682994,140.8764937768888
427246.09375,-22.8945426054373,139.7099839809664
439453.125,-22.89158060424396,149.1766551395708
451660.15625,-22.87203363237634,153.3545432127495
463867.1875,-22.84452554984068,159.9722507288255
476074.21875,-22.85395155235695,103.1184594198562
488281.25,-22.85926290861667,21.9143924091593
500488.28125,-22.84229962467755,81.68705249287945
512695.3125,-22.8350929170791,104.9959759900331
524902.34375,-22.86065234329172,117.0227067178068
537109.375,-22.88518737537942,129.5542416602447
549316.40625,-22.87797606477698,136.43980758539
561523.4375,-22.88547262707737,20.19163312487482
573730.46875,-22.89268729399854,158.6051606633949
585937.5,-22.88016494325626,152.3781635128363
598144.53125,-22.86400086283715,155.8397853964634
610351.5625,-22.85331986164832,148.1718302179962
