Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,6.253999814303294,0
12207.03125,5.945824651922099,179.0723611049654
24414.0625,2.452969372713253,178.1758363386098
36621.09375,-7.899213872345823,172.9945552138534
48828.125,-22.55680939789166,121.0733881995795
61035.15625,-22.9493811957109,50.00734692847202
73242.1875,-22.89869615552199,40.67653190604638
85449.21875,-22.89448176972019,32.47504347790138
97656.25,-22.89798766374863,27.23913983679138
109863.28125,-22.85554984355149,23.83636821942402
122070.3125,-22.80175247911231,19.34208362515164
134277.34375,-22.79946883481379,53.92173148592752
146484.375,-22.81801557155793,128.2500178590275
158691.40625,-22.80119776026388,97.3976016648334
170898.4375,-22.81785250784047,14.51778185134687
183105.46875,-22.86592384221533,124.2503384658353
195312.5,-22.93580736924969,121.217462764405
207519.53125,-22.96136688328117,113.7138670746169
219726.5625,-22.892342500242,110.4164340356261
231933.59375,-22.8712274059358,128.3117461839288
244140.625,-22.90058081760858,15.66949197528627
256347.65625,-22.90634139476495,48.28294334357835
268554.6875,-22.89158936110585,47.1344799788656
280761.71875,-22.90040772641135,41.06194616600829
292968.75,-22.90932573545237,38.97986474616728
305175.78125,-22.88921692529332,31.30873624313641
317382.8125,-22.86849534602037,13.17020090141268
329589.84375,-22.88769776942306,41.21838387638385
341796.875,-22.90074408241789,80.32900001904078
354003.90625,-22.92054166176011,71.90160639559168
366210.9375,-22.9257864073073,51.29704867465282
378417.96875,-22.9474536536238,32.94039116288746
390625,-23.01753010305958,169.5745455616127
402832.03125,-23.08277768988246,137.8605214037664
415039.0625,-23.10234689049352,116.6736766725142
427246.09375,-23.04747499999726,97.05007157694565
439453.125,-22.98171247864637,100.1047250550194
451660.15625,-22.93903492946509,124.8864694002388
463867.1875,-22.92576894388807,140.7399206469444
476074.21875,-22.93061354591808,145.585434045917
488281.25,-22.94213304350873,158.7659750954556
500488.28125,-22.93481125199645,166.1210663838163
512695.3125,-22.92262857757894,171.5512153571939
524902.34375,-22.91447988124562,13.12006916431747
537109.375,-22.91974741043013,32.19091081024161
549316.40625,-22.93453397218432,52.19909195736424
561523.4375,-22.92672893775392,76.17214161139366
573730.46875,-22.86216644821666,86.20688599450297
585937.5,-22.83725301650738,96.89763560526019
598144.53125,-22.85112900940602,129.5132078084346
610351.5625,-22.86365407970573,179.4806606766678
622558.59375,-22.888582352631,27.42500069761129
634765.625,-22.91951884214091,29.35575212059556
646972.65625,-22.94598584070094,26.12732782882524
659179.6875,-22.93449834905409,25.16565652319322
671386.71875,-22.91079387948781,42.34486296973125
